target,model_type,parameter,coefficient,p_value,ci_lower,ci_upper
system_energy_per_good_part_kwh,log_ols,const,3.201015447838486,0.00018474399533989776,1.5230660577322166,4.878964837944755
system_energy_per_good_part_kwh,log_ols,availability,-0.5223996967262388,0.013811601881978624,-0.9382535013748906,-0.10654589207758691
system_energy_per_good_part_kwh,log_ols,performance,-0.2038336416677182,0.8140062307133612,-1.9019763187206058,1.4943090353851693
system_energy_per_good_part_kwh,log_ols,quality,-1.5302679029809934,4.0514155420164356e-07,-2.1222455242042573,-0.9382902817577294
system_energy_per_good_part_kwh,gamma_glm,const,3.118821193749243,0.00017760159679621523,1.488275292881527,4.749367094616959
system_energy_per_good_part_kwh,gamma_glm,availability,-0.5512854518939567,0.006588792925299962,-0.9489749072098723,-0.15359599657804118
system_energy_per_good_part_kwh,gamma_glm,performance,-0.11160906282197573,0.891586888552881,-1.7165639897551312,1.4933458641111799
system_energy_per_good_part_kwh,gamma_glm,quality,-1.5010846554451522,9.991385332871182e-09,-2.0144568440068413,-0.9877124668834634
cycle_energy_per_good_part_kwh,log_ols,const,2.117665404604173,7.623248632785206e-08,1.3455890558543704,2.8897417533539755
cycle_energy_per_good_part_kwh,log_ols,availability,0.1072135189914517,0.28912117125022596,-0.09101707279063176,0.30544411077353517
cycle_energy_per_good_part_kwh,log_ols,performance,-1.62033428721989,2.7724630890387042e-05,-2.378029033913872,-0.8626395405259083
cycle_energy_per_good_part_kwh,log_ols,quality,0.1244781243498262,0.36594952425241545,-0.14537728715906123,0.3943335358587136
cycle_energy_per_good_part_kwh,gamma_glm,const,2.1366034694152587,5.675024649275333e-08,1.3652166533123737,2.9079902855181436
cycle_energy_per_good_part_kwh,gamma_glm,availability,0.10607584272575633,0.2691385924437638,-0.08206507533768702,0.29421676078919967
cycle_energy_per_good_part_kwh,gamma_glm,performance,-1.6360612928453089,2.4081644075632047e-05,-2.395341402909531,-0.8767811827810867
cycle_energy_per_good_part_kwh,gamma_glm,quality,0.12230360348727382,0.32364411941209736,-0.12056508104324568,0.36517228801779333
