cycle_id,machine_id,operation_id,cycle_start_ts,cycle_end_ts,actual_cycle_time_sec,part_result,scrap_reason
CYCLE_0001,DMU50_001,OP_001,2026-03-01 06:17:00+00:00,2026-03-01 06:25:05.420000+00:00,485.42,good,
CYCLE_0002,DMU50_001,OP_003,2026-03-01 06:38:00+00:00,2026-03-01 06:44:07.602000+00:00,367.602,good,
CYCLE_0003,DMU50_001,OP_001,2026-03-01 06:51:00+00:00,2026-03-01 06:59:09.775000+00:00,489.775,scrap,surface_defect
CYCLE_0004,DMU50_001,OP_003,2026-03-01 07:10:00+00:00,2026-03-01 07:16:16.241000+00:00,376.241,good,
CYCLE_0005,DMU50_001,OP_002,2026-03-01 07:39:00+00:00,2026-03-01 07:48:12.677000+00:00,552.677,good,
CYCLE_0006,DMU50_001,OP_001,2026-03-01 07:54:00+00:00,2026-03-01 08:02:02.861000+00:00,482.861,scrap,surface_defect
CYCLE_0007,DMU50_001,OP_002,2026-03-01 08:14:00+00:00,2026-03-01 08:22:54.938000+00:00,534.938,good,
CYCLE_0008,DMU50_001,OP_001,2026-03-01 08:26:00+00:00,2026-03-01 08:34:20.568000+00:00,500.568,good,
CYCLE_0009,DMU50_001,OP_002,2026-03-01 08:44:00+00:00,2026-03-01 08:53:05.336000+00:00,545.336,scrap,surface_defect
CYCLE_0010,DMU50_001,OP_001,2026-03-01 09:12:00+00:00,2026-03-01 09:20:06.030000+00:00,486.03,good,
CYCLE_0011,DMU50_001,OP_003,2026-03-01 09:22:00+00:00,2026-03-01 09:28:10.694000+00:00,370.694,good,
CYCLE_0012,DMU50_001,OP_002,2026-03-01 09:43:00+00:00,2026-03-01 09:51:43.006000+00:00,523.006,scrap,surface_defect
CYCLE_0013,DMU50_001,OP_001,2026-03-01 10:05:00+00:00,2026-03-01 10:12:52.745000+00:00,472.745,good,
CYCLE_0014,DMU50_001,OP_002,2026-03-01 10:19:00+00:00,2026-03-01 10:27:56.559000+00:00,536.559,good,
CYCLE_0015,DMU50_001,OP_001,2026-03-01 10:43:00+00:00,2026-03-01 10:51:17.592000+00:00,497.592,scrap,surface_defect
CYCLE_0016,DMU50_001,OP_003,2026-03-01 10:58:00+00:00,2026-03-01 11:03:46.438000+00:00,346.438,good,
CYCLE_0017,DMU50_001,OP_001,2026-03-01 11:11:00+00:00,2026-03-01 11:19:11.702000+00:00,491.702,good,
CYCLE_0018,DMU50_001,OP_003,2026-03-01 11:26:00+00:00,2026-03-01 11:32:27.159000+00:00,387.159,scrap,surface_defect
CYCLE_0019,DMU50_001,OP_003,2026-03-01 12:03:00+00:00,2026-03-01 12:09:19.687000+00:00,379.687,good,
CYCLE_0020,DMU50_001,OP_002,2026-03-01 12:25:00+00:00,2026-03-01 12:34:42.283000+00:00,582.283,good,
CYCLE_0021,DMU50_001,OP_001,2026-03-01 12:39:00+00:00,2026-03-01 12:47:32.572000+00:00,512.572,scrap,surface_defect
CYCLE_0022,DMU50_001,OP_002,2026-03-01 12:54:00+00:00,2026-03-01 13:02:46.655000+00:00,526.655,good,
CYCLE_0023,DMU50_001,OP_001,2026-03-01 13:17:00+00:00,2026-03-01 13:25:33.723000+00:00,513.723,good,
CYCLE_0024,DMU50_001,OP_003,2026-03-01 13:31:00+00:00,2026-03-01 13:36:50.099000+00:00,350.099,scrap,surface_defect
CYCLE_0025,DMU50_001,OP_001,2026-03-01 13:44:00+00:00,2026-03-01 13:51:44.810000+00:00,464.81,good,
CYCLE_0026,DMU50_001,OP_003,2026-03-01 13:56:00+00:00,2026-03-01 14:01:49.089000+00:00,349.089,good,
CYCLE_0027,DMU50_001,OP_001,2026-03-01 14:05:00+00:00,2026-03-01 14:13:12.616000+00:00,492.616,scrap,surface_defect
CYCLE_0028,DMU50_001,OP_003,2026-03-01 14:20:00+00:00,2026-03-01 14:25:57.687000+00:00,357.687,good,
CYCLE_0029,DMU50_001,OP_001,2026-03-01 14:31:00+00:00,2026-03-01 14:38:47.567000+00:00,467.567,good,
CYCLE_0030,DMU50_001,OP_003,2026-03-01 14:50:00+00:00,2026-03-01 14:55:53.160000+00:00,353.16,scrap,surface_defect
CYCLE_0031,DMU50_001,OP_002,2026-03-01 15:11:00+00:00,2026-03-01 15:20:30.644000+00:00,570.644,good,
CYCLE_0032,DMU50_001,OP_001,2026-03-01 15:26:00+00:00,2026-03-01 15:34:16.191000+00:00,496.191,good,
CYCLE_0033,DMU50_001,OP_002,2026-03-01 15:41:00+00:00,2026-03-01 15:50:27.070000+00:00,567.07,scrap,surface_defect
CYCLE_0034,DMU50_001,OP_001,2026-03-01 15:54:00+00:00,2026-03-01 16:01:44.350000+00:00,464.35,good,
CYCLE_0035,DMU50_001,OP_002,2026-03-01 16:09:00+00:00,2026-03-01 16:17:51.521000+00:00,531.521,good,
CYCLE_0036,DMU50_001,OP_002,2026-03-01 16:45:00+00:00,2026-03-01 16:53:45.754000+00:00,525.754,scrap,surface_defect
CYCLE_0037,DMU50_001,OP_001,2026-03-01 16:58:00+00:00,2026-03-01 17:05:51.486000+00:00,471.486,good,
CYCLE_0038,DMU50_001,OP_002,2026-03-01 17:15:00+00:00,2026-03-01 17:23:43.012000+00:00,523.012,good,
CYCLE_0039,DMU50_001,OP_001,2026-03-01 17:53:00+00:00,2026-03-01 18:00:51.268000+00:00,471.268,scrap,surface_defect
CYCLE_0040,DMU50_001,OP_003,2026-03-01 18:04:00+00:00,2026-03-01 18:10:00.049000+00:00,360.049,good,
CYCLE_0041,DMU50_001,OP_001,2026-03-01 18:16:00+00:00,2026-03-01 18:23:53.380000+00:00,473.38,good,
CYCLE_0042,DMU50_001,OP_003,2026-03-01 18:31:00+00:00,2026-03-01 18:37:11.658000+00:00,371.658,scrap,surface_defect
CYCLE_0043,DMU50_001,OP_002,2026-03-01 18:55:00+00:00,2026-03-01 19:03:54.975000+00:00,534.975,good,
CYCLE_0044,DMU50_001,OP_001,2026-03-01 19:22:00+00:00,2026-03-01 19:30:22.982000+00:00,502.982,good,
CYCLE_0045,DMU50_001,OP_003,2026-03-01 19:38:00+00:00,2026-03-01 19:43:48.501000+00:00,348.501,scrap,surface_defect
CYCLE_0046,DMU50_001,OP_002,2026-03-01 19:58:00+00:00,2026-03-01 20:07:34.656000+00:00,574.656,good,
CYCLE_0047,DMU50_001,OP_001,2026-03-01 20:33:00+00:00,2026-03-01 20:41:25.902000+00:00,505.902,good,
CYCLE_0048,DMU50_001,OP_003,2026-03-01 20:49:00+00:00,2026-03-01 20:55:06.175000+00:00,366.175,scrap,surface_defect
CYCLE_0049,DMU50_001,OP_001,2026-03-01 21:02:00+00:00,2026-03-01 21:10:22.157000+00:00,502.157,good,
CYCLE_0050,DMU50_001,OP_003,2026-03-01 21:20:00+00:00,2026-03-01 21:26:22.514000+00:00,382.514,good,
CYCLE_0051,DMU50_001,OP_001,2026-03-01 21:32:00+00:00,2026-03-01 21:39:52.076000+00:00,472.076,scrap,surface_defect
CYCLE_0052,DMU50_001,OP_003,2026-03-01 21:50:00+00:00,2026-03-01 21:56:00.299000+00:00,360.299,good,
CYCLE_0053,DMU50_001,OP_003,2026-03-01 22:24:00+00:00,2026-03-01 22:30:22.155000+00:00,382.155,good,
CYCLE_0054,DMU50_001,OP_001,2026-03-01 22:39:00+00:00,2026-03-01 22:46:42.556000+00:00,462.556,scrap,surface_defect
CYCLE_0055,DMU50_001,OP_003,2026-03-01 22:57:00+00:00,2026-03-01 23:03:26.907000+00:00,386.907,good,
CYCLE_0056,DMU50_001,OP_003,2026-03-01 23:34:00+00:00,2026-03-01 23:39:57.831000+00:00,357.831,good,
CYCLE_0057,DMU50_001,OP_001,2026-03-01 23:55:00+00:00,2026-03-02 00:03:20.306000+00:00,500.306,scrap,surface_defect
CYCLE_0058,DMU50_001,OP_003,2026-03-02 00:12:00+00:00,2026-03-02 00:18:03.870000+00:00,363.87,good,
CYCLE_0059,DMU50_001,OP_001,2026-03-02 00:31:00+00:00,2026-03-02 00:39:26.481000+00:00,506.481,good,
CYCLE_0060,DMU50_001,OP_003,2026-03-02 00:46:00+00:00,2026-03-02 00:52:28.725000+00:00,388.725,scrap,surface_defect
CYCLE_0061,DMU50_001,OP_001,2026-03-02 01:02:00+00:00,2026-03-02 01:10:27.279000+00:00,507.279,good,
CYCLE_0062,DMU50_001,OP_003,2026-03-02 01:17:00+00:00,2026-03-02 01:22:54.741000+00:00,354.741,good,
CYCLE_0063,DMU50_001,OP_001,2026-03-02 01:30:00+00:00,2026-03-02 01:38:04.114000+00:00,484.114,scrap,surface_defect
CYCLE_0064,DMU50_001,OP_003,2026-03-02 01:42:00+00:00,2026-03-02 01:47:58.089000+00:00,358.089,good,
CYCLE_0065,DMU50_001,OP_001,2026-03-02 01:50:00+00:00,2026-03-02 01:57:41.223000+00:00,461.223,good,
CYCLE_0066,DMU50_001,OP_003,2026-03-02 02:00:00+00:00,2026-03-02 02:06:12.190000+00:00,372.19,scrap,surface_defect
CYCLE_0067,DMU50_001,OP_001,2026-03-02 02:18:00+00:00,2026-03-02 02:26:32.445000+00:00,512.445,good,
CYCLE_0068,DMU50_001,OP_003,2026-03-02 02:34:00+00:00,2026-03-02 02:40:24.903000+00:00,384.903,good,
CYCLE_0069,DMU50_001,OP_002,2026-03-02 02:56:00+00:00,2026-03-02 03:05:17.588000+00:00,557.588,scrap,surface_defect
CYCLE_0070,DMU50_001,OP_001,2026-03-02 03:09:00+00:00,2026-03-02 03:16:44.560000+00:00,464.56,good,
CYCLE_0071,DMU50_001,OP_002,2026-03-02 03:26:00+00:00,2026-03-02 03:35:16.625000+00:00,556.625,good,
CYCLE_0072,DMU50_001,OP_001,2026-03-02 04:04:00+00:00,2026-03-02 04:12:06.423000+00:00,486.423,scrap,surface_defect
CYCLE_0073,DMU50_001,OP_001,2026-03-02 04:41:00+00:00,2026-03-02 04:49:07.975000+00:00,487.975,good,
CYCLE_0074,DMU50_001,OP_003,2026-03-02 04:57:00+00:00,2026-03-02 05:03:28.684000+00:00,388.684,good,
CYCLE_0075,DMU50_001,OP_002,2026-03-02 05:23:00+00:00,2026-03-02 05:31:46.541000+00:00,526.541,scrap,surface_defect
CYCLE_0076,DMU50_001,OP_001,2026-03-02 05:52:00+00:00,2026-03-02 06:00:00.629000+00:00,480.629,good,
CYCLE_0077,DMU50_001,OP_002,2026-03-02 06:06:00+00:00,2026-03-02 06:15:19.059000+00:00,559.059,good,
CYCLE_0078,DMU50_001,OP_001,2026-03-02 06:22:00+00:00,2026-03-02 06:30:26.767000+00:00,506.767,scrap,surface_defect
CYCLE_0079,DMU50_001,OP_003,2026-03-02 06:53:00+00:00,2026-03-02 06:58:45.732000+00:00,345.732,good,
CYCLE_0080,DMU50_001,OP_001,2026-03-02 07:06:00+00:00,2026-03-02 07:14:34.642000+00:00,514.642,good,
CYCLE_0081,DMU50_001,OP_003,2026-03-02 07:26:00+00:00,2026-03-02 07:32:22.477000+00:00,382.477,scrap,surface_defect
CYCLE_0082,DMU50_001,OP_001,2026-03-02 07:40:00+00:00,2026-03-02 07:48:28.276000+00:00,508.276,good,
CYCLE_0083,DMU50_001,OP_001,2026-03-02 08:04:00+00:00,2026-03-02 08:11:44.194000+00:00,464.194,good,
CYCLE_0084,DMU50_001,OP_003,2026-03-02 08:32:00+00:00,2026-03-02 08:37:48.140000+00:00,348.14,scrap,surface_defect
CYCLE_0085,DMU50_001,OP_001,2026-03-02 08:45:00+00:00,2026-03-02 08:53:29.187000+00:00,509.187,good,
