ts,machine_id,power_kw,energy_kwh_cumulative,sample_interval_sec
2026-03-01 06:00:00+00:00,DMU50_001,8.213,1000.13688,60.0
2026-03-01 06:01:00+00:00,DMU50_001,9.069,1000.28803,60.0
2026-03-01 06:02:00+00:00,DMU50_001,9.211,1000.44155,60.0
2026-03-01 06:03:00+00:00,DMU50_001,9.403,1000.59827,60.0
2026-03-01 06:04:00+00:00,DMU50_001,8.857,1000.74589,60.0
2026-03-01 06:05:00+00:00,DMU50_001,9.31,1000.90106,60.0
2026-03-01 06:06:00+00:00,DMU50_001,4.297,1000.97268,60.0
2026-03-01 06:07:00+00:00,DMU50_001,4.464,1001.04708,60.0
2026-03-01 06:08:00+00:00,DMU50_001,4.189,1001.1169,60.0
2026-03-01 06:09:00+00:00,DMU50_001,3.854,1001.18113,60.0
2026-03-01 06:10:00+00:00,DMU50_001,7.98,1001.31413,60.0
2026-03-01 06:11:00+00:00,DMU50_001,3.518,1001.37276,60.0
2026-03-01 06:12:00+00:00,DMU50_001,3.604,1001.43283,60.0
2026-03-01 06:13:00+00:00,DMU50_001,3.893,1001.49771,60.0
2026-03-01 06:14:00+00:00,DMU50_001,4.138,1001.56668,60.0
2026-03-01 06:15:00+00:00,DMU50_001,4.374,1001.63958,60.0
2026-03-01 06:16:00+00:00,DMU50_001,4.179,1001.70923,60.0
2026-03-01 06:17:00+00:00,DMU50_001,14.847,1001.95668,60.0
2026-03-01 06:18:00+00:00,DMU50_001,15.953,1002.22256,60.0
2026-03-01 06:19:00+00:00,DMU50_001,14.465,1002.46364,60.0
2026-03-01 06:20:00+00:00,DMU50_001,15.617,1002.72392,60.0
2026-03-01 06:21:00+00:00,DMU50_001,15.511,1002.98244,60.0
2026-03-01 06:22:00+00:00,DMU50_001,14.887,1003.23056,60.0
2026-03-01 06:23:00+00:00,DMU50_001,14.984,1003.48029,60.0
2026-03-01 06:24:00+00:00,DMU50_001,14.982,1003.72999,60.0
2026-03-01 06:25:00+00:00,DMU50_001,9.073,1003.88121,60.0
2026-03-01 06:26:00+00:00,DMU50_001,8.762,1004.02724,60.0
2026-03-01 06:27:00+00:00,DMU50_001,8.829,1004.17439,60.0
2026-03-01 06:28:00+00:00,DMU50_001,8.858,1004.32202,60.0
2026-03-01 06:29:00+00:00,DMU50_001,8.871,1004.46987,60.0
2026-03-01 06:30:00+00:00,DMU50_001,3.438,1004.52717,60.0
2026-03-01 06:31:00+00:00,DMU50_001,3.052,1004.57804,60.0
2026-03-01 06:32:00+00:00,DMU50_001,3.52,1004.63671,60.0
2026-03-01 06:33:00+00:00,DMU50_001,3.395,1004.69329,60.0
2026-03-01 06:34:00+00:00,DMU50_001,3.127,1004.74541,60.0
